,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
236,1977828,0.75,False,Bos en Lommer,52.38,4.855,Entire home/apt,3,2,1,1,75.0,3,1125,True,0,0,4.74,False,25.0,225.0,0.07,0.13,0.17,4.99,0.0,519.972602739726
237,2023961,0.0,False,Centrum-West,52.38,4.887,Entire home/apt,2,1,1,8,114.0,4,30,True,0,0,4.86,False,57.0,456.0,0.06,0.08,0.2,4.99,0.0,571.2328767123288
238,2065321,0.27,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,2,1,1,7,170.0,3,15,True,0,1,4.83,False,85.0,510.0,0.08,0.19,0.12,4.99,0.01643835616438356,850.0
239,2074047,1.0,False,Westerpark,52.38,4.87,Entire home/apt,4,2,1,12,185.0,6,30,True,0,0,4.95,False,46.25,1110.0,0.07,0.12,0.21,4.99,0.2821917808219178,918.8356164383562
240,2080040,0.5399999999999999,True,Zuid,52.34,4.848,Entire home/apt,3,2,2,12,134.0,7,1125,True,9,1,4.51,False,44.66,938.0,0.07,0.07,0.18,4.99,0.4904109589041096,825.5890410958904
241,2080427,1.0,False,Oud-Oost,52.34,4.914,Entire home/apt,2,1,1,6,102.0,6,15,True,0,0,4.47,False,51.0,612.0,0.07,0.15,0.15,4.99,0.0,510.0
242,2088011,1.0,False,Oud-Oost,52.38,4.93,Entire home/apt,2,1,1,4,150.0,3,30,True,0,1,5.0,False,75.0,450.0,0.06,0.19,0.15,4.99,0.0,750.0
243,2097548,0.33,False,Noord-West,52.4,4.918,Entire home/apt,4,2,4,6,150.0,3,21,True,0,0,4.89,False,37.5,450.0,0.07,0.25,0.25,4.99,0.03561643835616438,754.5205479452055
244,2116479,0.63,False,Westerpark,52.38,4.867,Entire home/apt,2,1,1,3,125.0,3,10,True,0,0,4.48,False,62.5,375.0,0.06,0.14,0.15,4.99,0.0,625.0
245,2116719,0.31000000000000005,False,Oud-Noord,52.4,4.93,Entire home/apt,4,2,4,10,205.0,2,3,True,0,0,4.67,False,51.25,410.0,0.11,0.21,0.27,4.99,0.0,1096.6986301369864
246,2144304,0.8,False,Zuid,52.34,4.88,Entire home/apt,6,3,4,17,466.0,3,1125,True,0,0,4.89,True,77.7,1398.0,0.03,0.25,0.22,10.99,0.019178082191780823,2330.0
247,2144308,0.86,False,Noord-West,52.4,4.918,Entire home/apt,2,1,1,8,90.0,3,1125,True,0,0,4.84,True,45.0,270.0,0.06,0.13,0.16,4.99,0.0,451.64383561643837
248,2224903,0.67,False,Oud-Oost,52.34,4.914,Entire home/apt,4,2,4,9,225.0,3,3,True,0,1,4.13,False,56.25,675.0,0.08,0.14,0.25,4.99,0.4794520547945205,1105.4109589041095
249,2235708,0.6799999999999999,False,De Pijp - Rivierenbuurt,52.34,4.9,Entire home/apt,2,1,1,4,139.0,6,1124,True,0,0,4.81,False,69.5,834.0,0.07,0.12,0.21,4.99,0.024657534246575342,886.7808219178082
250,2255109,0.91,False,Oostelijk Havengebied - Indische Buurt,52.38,4.945,Entire home/apt,4,2,5,6,231.0,3,1125,True,0,0,4.75,False,57.75,693.0,0.11,0.27,0.23,4.99,0.01643835616438356,1180.5479452054794
251,2344785,1.0,True,De Baarsjes - Oud-West,52.38,4.88,Private room,4,1,2,7,240.0,3,1001,True,2,4,4.89,False,60.0,720.0,0.08,0.12,0.22,4.99,0.3698630136986301,1075.7808219178082
